".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","Prueba","Variable","df","Significancia"
"Valor","1","2",14,14,1,0.106,0.318,"ns","Friedman (no normal)","HLM",NA,"ns"
"Valor","1","3",14,14,33,0.036,0.109,"ns","Friedman (no normal)","HLM",NA,"ns"
"Valor","2","3",14,14,36,0.014,0.041,"*","Friedman (no normal)","HLM",NA,"*"
"Valor","1","2",14,14,18.5,0.49,1,"ns","Friedman (no normal)","HAE",NA,"ns"
"Valor","1","3",14,14,55,0.037,0.11,"ns","Friedman (no normal)","HAE",NA,"ns"
"Valor","2","3",14,14,33,0.221,0.663,"ns","Friedman (no normal)","HAE",NA,"ns"
"Valor","1","2",14,14,-3.36850212659871,0.005,0.015,"*","ANOVA (normal)","UDAP",13,"*"
"Valor","1","3",14,12,-4.70569744967515,0.000644,0.002,"**","ANOVA (normal)","UDAP",11,"**"
"Valor","2","3",14,12,-0.196193294575854,0.848,1,"ns","ANOVA (normal)","UDAP",11,"ns"
"Valor","1","2",14,14,99,0.002,0.005,"**","Friedman (no normal)","UDML",NA,"**"
"Valor","1","3",14,12,73,0.005,0.015,"*","Friedman (no normal)","UDML",NA,"*"
"Valor","2","3",14,12,56,0.204,0.612,"ns","Friedman (no normal)","UDML",NA,"ns"
"Valor","1","2",13,14,58,0.392,1,"ns","Friedman (no normal)","CLM",NA,"ns"
"Valor","1","3",13,13,57.5,0.149,0.447,"ns","Friedman (no normal)","CLM",NA,"ns"
"Valor","2","3",14,13,24.5,0.856,1,"ns","Friedman (no normal)","CLM",NA,"ns"
"Valor","1","2",14,14,46.5,0.581,1,"ns","Friedman (no normal)","FLM",NA,"ns"
"Valor","1","3",14,14,75,0.005,0.015,"*","Friedman (no normal)","FLM",NA,"*"
"Valor","2","3",14,14,40.5,0.036,0.108,"ns","Friedman (no normal)","FLM",NA,"ns"
"Valor","1","2",14,14,43,0.583,1,"ns","Friedman (no normal)","FDS",NA,"ns"
"Valor","1","3",14,14,6.5,0.007,0.021,"*","Friedman (no normal)","FDS",NA,"*"
"Valor","2","3",14,14,18,0.029,0.088,"ns","Friedman (no normal)","FDS",NA,"ns"
"Valor","1","2",13,12,-4.77075010684462,0.00058,0.002,"**","ANOVA (normal)","LI",11,"**"
"Valor","1","3",13,12,-4.98173625226993,0.000414,0.001,"**","ANOVA (normal)","LI",11,"***"
"Valor","2","3",12,12,0.272852882792561,0.79,1,"ns","ANOVA (normal)","LI",11,"ns"
"Valor","1","2",10,12,3.19006580128233,0.011,0.033,"*","ANOVA (normal)","OBB",9,"*"
"Valor","1","3",10,12,1.79115882933865,0.107,0.321,"ns","ANOVA (normal)","OBB",9,"ns"
"Valor","2","3",12,12,-3.33375157256253,0.007,0.02,"*","ANOVA (normal)","OBB",11,"*"
"Valor","1","2",11,13,-2.68594726149561,0.023,0.069,"ns","ANOVA (normal)","MDH",10,"ns"
"Valor","1","3",11,13,-1.72925486288623,0.114,0.342,"ns","ANOVA (normal)","MDH",10,"ns"
"Valor","2","3",13,13,0.47937035595731,0.64,1,"ns","ANOVA (normal)","MDH",12,"ns"
"Valor","1","2",15,15,34,0.151,0.453,"ns","Friedman (no normal)","DTC",NA,"ns"
"Valor","1","3",15,15,62,0.934,1,"ns","Friedman (no normal)","DTC",NA,"ns"
"Valor","2","3",15,15,99,0.026,0.077,"ns","Friedman (no normal)","DTC",NA,"ns"
